,food_name,glycemic_index(GI),sugar
0,"Banana cake, made with sugar",47,14
1,"Banana cake, made without sugar",55,12
2,Chocolate cake made from packet mix,38,20
3,"Cupcake, strawberry-iced (Squiggles,",73,19
4,Lamingtons (sponge dipped in chocolate and,87,25
5,"Pound cake 0% (Bimbo S.A de C.V, Mexico",38,9
6,"Raspberry Coffee cake, President's Choice®",50,13
7,"Vanilla cake, made from packet mix with",42,24
8,"Apple Berry crumble, President's Choice®",41,14
9,"Bavarian (mousse filling on biscuit base), Chocolate",31,6
10,"Danish, Apple & Peach, light (Sara Lee Bakery,",50,11
11,"Doughnut, wheat dough, deep-fried (China)",75,15
12,"Apple muffin, made with rolled oats and sugar",44,13
13,"Apple muffin, made rolled oats and without sugar",48,9
14,"Apple Blueberry muffin (Sara Lee Bakery, Australia)",49,12
15,"Apple, oat, sultana muffin (Australia)",54,14
16,"Apricot, coconut and honey muffin (Australia)",60,16
17,"Banana, oat and honey muffin (Australia)",65,17
18,"Blueberry muffin (Sara Lee Bakery, Australia)",50,15
19,"Blueberry (Wild) 10-Grain muffin, President's Choice®",57,22
20,Chocolate butterscotch muffin (Australia),53,15
21,"Chocolate chip muffin (Sara Lee Bakery, Australia)",52,17
22,"Cranberry & Orange Soy muffin, President's Choice®",48,14
23,"Double chocolate muffin (Sara Lee Bakery, Australia)",46,16
24,"Muffin, plain, made from wheat flour (Spain)",46,11
25,"Muffin, reduced-fat, low-calorie, made from",37,9
26,"Raisin Bran Flax muffin, President's Choice®",52,17
27,"Raspberry Pomegranate muffin, President's Choice®",58,19
28,"Pancakes, homemade (Fiji)",66,17
29,"Pancakes, prepared from shake mix",67,38
30,"Pancakes, prepared from wheat flour (China)",80,16
31,"Pancakes, buckwheat, gluten-free, made from packet 1",102,23
32,"Pancakes, gluten-free, made from packet mix",61,32
33,"Pastry, puff (PampasTM, Australia)",56,11
34,"Pikelets, Golden brand (Tip Top Bakeries,",85,18
35,"Scones, plain, made from packet mix",92,8
36,"Aussie Bodies Start the Day UHT, Choc Banana  24",24,4
37,"Aussie Bodies Start the Day UHT, Chocolate  26",26,4
