food_link,food_name,brand,nutri_score,processing_score,nutri_energy,fat,nutri_satuFat,carb,sugar,nutri_fiber,nutri_protein,nutri_salt
Mango and chilis pickles - Mother's receip,Mango and chilis pickles - Mother's receip,Mother's receip,,,"84 kj
(20 kcal)",1.5 g,,1 g,,,,
Max Protein - Rite it’s,Max Protein - Rite it’s,Rite it’s,,,"1,117 kj
(267 kcal)",,,14.8 g,,5 g,20 g,
Kamarkat - 100 gm,Kamarkat - 100 gm,,,,"1,891 kj
(452 kcal)",,,,,,2 g,
Сырок глазурованный ваниль - Ферма,Сырок глазурованный ваниль - Ферма,Ферма,,,"1,678 kj
(401 kcal)",26.1 g,18.8 g,29.3 g,29 g,1.1 g,11.7 g,
Ibugesic,Ibugesic,,,,,,,,,,,0%
Salted Peanuts - Panjwani,Salted Peanuts - Panjwani,Panjwani,,,"2,551 kj
(609 kcal)",47.78 g,7.86 g,28.26 g,7.26 g,19.26 g,0 g,17.98 g
Special suji rusk - Veer jee,Special suji rusk - Veer jee,Veer jee,,,"497 kj
(118 kcal)",2.6 g,,1.4 g,,,2.1 g,
Frooti Mango drink,Frooti Mango drink,Frooti,,,"352 kj
(84 kcal)",,,15.8 g,15.8 g,0.4 g,,
Chives Kimchi - 80Million Kimchi,Chives Kimchi - 80Million Kimchi,80Million Kimchi,,,"149 kj
(35 kcal)",,,3.571 g,,3.571 g,3.571 g,
Masala  oats - Soffola,Masala  oats - Soffola,Soffola,,,"556 kj
(133 kcal)",3 g,0.04 g,23.8 g,2.4 g,2.4 g,2.8 g,
Kai Murruku - Anna bytes,Kai Murruku - Anna bytes,Anna bytes,,,"2,231 kj
(533 kcal)",30 g,9.333 g,56.667 g,1.667 g,0.333 g,10 g,
Insight Banana Loose Powder,Insight Banana Loose Powder,,,NOVA 4,,,,,,,,0%
Parle G - 55g,Parle G - 55g,PARLE,,NOVA 4,"1,900 kj
(454 kcal)",13 g,6 g,77.3 g,25.5 g,,6.9 g,0.74 g
malt vinegar - heinz,malt vinegar - heinz,Heinz,,,,,,,,,,0%
Yummy - Anmol - 35g,Yummy - Anmol - 35g,Anmol,,,"696 kj
(474 kcal)",16.89 g,8.81 g,74.47 g,29.6 g,,6.27 g,0.535 g
White Toast - Innlay Bakery,White Toast - Innlay Bakery,Innlay Bakery,,,"1,684 kj
(402 kcal)",2.381 g,3.571 g,83.333 g,91.667 g,,11.905 g,
Shrimp,Shrimp,,,,"333 kj
(79 kcal)",,,,,,19.469 g,
Strawberry milk - SHATTO,Strawberry milk - SHATTO,SHATTO,,,"1,506 kj
(360 kcal)",13 g,8 g,46 g,30 g,,12 g,
Spaghetti - Lubella,Spaghetti - Lubella,Lubella,,,"1,469 kj
(351 kcal)",1.4 g,0.4 g,70 g,4.2 g,3 g,13 g,
Chicken tikka - Sardar,Chicken tikka - Sardar,Sardar,,,"711 kj
(170 kcal)",9.28 g,,6.4 g,,,15.27 g,
Taka tak - 100g,Taka tak - 100g,,,,"2,272 kj
(543 kcal)",35 g,17 g,50 g,0.5 g,,7 g,
Brut - 283g,Brut - 283g,,,,283 g,,,,,,,
Eggs - Mae’s Eggs,Eggs - Mae’s Eggs,Mae’s Eggs,,,"598 kj
(142 kcal)",9.524 g,,,,,12.698 g,
Bread - iD,Bread - iD,iD,,,"1,194 kj
(285 kcal)",2.9 g,0.6 g,0.8 g,1.5 g,0 g,0 mg,55.2 g
Dark chocolate Muesli - Yoga bar,Dark chocolate Muesli - Yoga bar,Yoga bar,,,"1,828 kj
(437 kcal)",13.3 g,4.9 g,67 g,6.7 g,9.4 g,13.3 g,
Super muesli - Yoga Bar,Super muesli - Yoga Bar,Yoga Bar,,,"1,778 kj
(425 kcal)",21.6 g,,39.8 g,,15.1 g,17.4 g,
Cuajada hondureña - La cremosita,Cuajada hondureña - La cremosita,La cremosita,,,"293 kj
(70 kcal)",5 g,3.5 g,1 g,,,5 g,
Zesty Orange - Santé,Zesty Orange - Santé,Santé,,,"129,704 kj
(31000 kcal)",0.2 g,,7.75 g,7.4 g,0.05 g,0.3 g,
Super Spoon - Kri Kri,Super Spoon - Kri Kri,Kri Kri,,,"590 kj
(141 kcal)",,,20 g,19 g,,15 g,
Muesli+ - Yoga Bar,Muesli+ - Yoga Bar,Yoga Bar,,,"1,749 kj
(418 kcal)",9.5 g,2 g,70 g,4.8 g,7.5 g,13 g,0 g
राम बंधू पापड मसाला - 100g,राम बंधू पापड मसाला - 100g,,,,"205 kj
(49 kcal)",0.37 g,,9.48 g,,8.17 g,1.82 g,
Saffola Oats,Saffola Oats,Saffola,,,"1,440 kj
(345 kcal)",5.3 g,,66.8 g,,10.4 g,12.6 g,
Dal makhani - Kohinoor,Dal makhani - Kohinoor,Kohinoor,,,"348 kj
(83 kcal)",3.2 g,0.5 g,13.9 g,0.2 g,4.8 g,2.9 g,
Fit mix - Jewel farmer,Fit mix - Jewel farmer,Jewel farmer,,,"2,364 kj
(565 kcal)",40.7 g,5.78 g,34.7 g,12.6 g,12.8 g,15 g,
Protien bar - Yoga bar,Protien bar - Yoga bar,Yoga bar,,,"1,121 kj
(268 kcal)",14.7 g,2.5 g,19.2 g,5.6 g,10.6 g,20 g,
Milk Chocolate Chickpea Snacks - Lebby,Milk Chocolate Chickpea Snacks - Lebby,Lebby,,,"2,092 kj
(500 kcal)",26.19 g,,52.381 g,,7.143 g,11.905 g,
Vegan Cocktail samosa - Haldiram’s minute khana,Vegan Cocktail samosa - Haldiram’s minute khana,Haldiram’s minute khana,,,"1,423 kj
(340 kcal)",17.4 g,2.8 g,40 g,1 g,10 g,5.4 g,
Krombachers Fassbrause Zitrone - Krombacher,Krombachers Fassbrause Zitrone - Krombacher,Krombacher,,,"121 kj
(29 kcal)",,,7.1 g,6.7 g,,,
Chat at matar - Bingo,Chat at matar - Bingo,Bingo,,,"1,987 kj
(475 kcal)",20 g,9 g,59 g,10 g,,,
sanju,sanju,,,,20 g,,20 g,20 g,20 g,20 g,20 g,20 % vol
Salted Caramel - Häagen-Dazs,Salted Caramel - Häagen-Dazs,Häagen-Dazs,,,"1,151 kj
(275 kcal)",16.3 g,10.9 g,28.1 g,25.3 g,,4 g,
RandomTest - TestBrand,RandomTest - TestBrand,TestBrand,,,13 g,5.2 g,,,,,,0%
Chocobar chocoholic - The brooklyn creamery,Chocobar chocoholic - The brooklyn creamery,The brooklyn creamery,,,"753 kj
(180 kcal)",12.182 g,8.727 g,22.182 g,3.091 g,3.273 g,3.818 g,
Litchi - Real,Litchi - Real,Real,,,"234 kj
(56 kcal)",,,14 g,14 g,,0.1 g,
Cuppa Rice - Daawat,Cuppa Rice - Daawat,Daawat,,,"1,192 kj
(285 kcal)",10 g,4.6 g,64.7 g,0.5 g,,13.1 g,
Mango - B Natural,Mango - B Natural,B Natural,,,"444 kj
(106 kcal)",,,15 g,3.4 g,1 g,0.1 g,
Protein - Food strong,Protein - Food strong,Food strong,,,"1,598 kj
(381 kcal)",3.333 g,2.727 g,15.455 g,10.606 g,,72.121 g,
Nissin,Nissin,Nissin,,,"1,519 kj
(363 kcal)",17 g,6 g,66 g,6 g,9 g,9 g,
Plix  fit and slim smoothie chocolate,Plix  fit and slim smoothie chocolate,Plix,,,"595 kj
(142 kcal)",2.6 g,,14.6 g,5.2 g,3.7 g,15.13 g,
Sei White Tea - Teamonk,Sei White Tea - Teamonk,Teamonk,,,"8 kj
(2 kcal)",0.03 g,,0.03 g,,,0.43 g,
Yummy Guava - Paper boat,Yummy Guava - Paper boat,Paper boat,,,"234 kj
(56 kcal)",,,14 g,13.5 g,,,
Chicken breast - Zorabian,Chicken breast - Zorabian,Zorabian,,,"477 kj
(114 kcal)",1.3 g,,,,,25.6 g,
Granola - Fit flex,Granola - Fit flex,Fit flex,,,"393 kj
(94 kcal)",1.1 g,,16.8 g,3.7 g,1.3 g,1.9 g,
Horlicks classic malt - Hindustan Unilever Ltd - 500g,Horlicks classic malt - Hindustan Unilever Ltd - 500g,Hindustan Unilever Ltd,,NOVA 4,,,,,,,,0%
High protein paneer - Punjab Sindh,High protein paneer - Punjab Sindh,Punjab Sindh,,,"669 kj
(160 kcal)",6 g,,4.5 g,,,22 g,
8901010000000,8901010000000,,,,,,,,,,,0%
Bullet coffee - Mad coffee,Bullet coffee - Mad coffee,Mad coffee,,,"8,786 kj
(2100 kcal)",220 g,,50 g,,20 g,20 g,
Oreo Original chocolate sandwich biscuits -,Oreo Original chocolate sandwich biscuits -,,,,"2,008 kj
(480 kcal)",19.7 g,9.8 g,70.3 g,37.8 g,,5.5 g,"1,245 g"
rahul,rahul,,,,,,,,,,,0%
Protein powder - ASITIS,Protein powder - ASITIS,ASITIS,,,"1,785 kj
(426 kcal)",4.667 g,,3.733 g,,2.8 g,93.333 g,
Oreo Original chocolate sandwich biscuits - 46.3g,Oreo Original chocolate sandwich biscuits - 46.3g,Oreo,,Nutri-Score E,"2,021 kj
(483 kcal)",19.6 g,9.7 g,71.9 g,38.8 g,0 g,5.2 g,"1,050 g"
ranishaco 21,ranishaco 21,,,,,,,,,,,0%
Banana chips - Kozhi,Banana chips - Kozhi,Kozhi,,,"2,138 kj
(511 kcal)",27.3 g,,65.7 g,,7.9 g,2.5 g,
