Company,Category,Product,Per Serve Size,Energy (kCal),Carbohydrates (g),Protein (g),Fiber (g),Sugar (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
Pizza Hut,All Meals,Corn n Cheese (Personal),143.5 g,432.6,65.64,17.91,3.85,0.0,10.93,5.14,0.16,16.19,499.72
Pizza Hut,All Meals,Country Feast (Personal),178 g,407.6,67.11,16.73,7.19,0.0,8.03,3.24,0.11,66.8,818.0
Pizza Hut,All Meals,Double Cheese (Personal),143 g,423.33,59.97,18.26,3.49,0.0,12.27,5.23,0.18,19.75,638.22
Pizza Hut,All Meals,Double Paneer Supreme (Personal),174.5 g,474.03,52.86,20.07,3.79,0.0,20.26,9.25,0.33,71.72,1128.11
Pizza Hut,All Meals,Farmer`s Pick (Personal),177 g,408.16,53.93,19.91,2.46,0.0,12.53,4.9,0.14,48.09,942.67
Pizza Hut,All Meals,Margherita (Personal),130.5 g,361.73,50.69,15.93,4.08,0.0,10.58,3.86,0.12,26.47,713.82
Pizza Hut,All Meals,Spiced Paneer (Personal),157 g,408.01,47.54,21.68,6.92,0.0,14.57,8.02,0.35,37.37,622.38
Pizza Hut,All Meals,Tandoori Onion (Personal),139.5 g,410.16,57.14,15.08,1.33,0.0,13.48,4.52,0.13,23.87,826.22
Pizza Hut,All Meals,Tandoori Paneer (Personal),167.5 g,532.08,76.38,17.82,7.07,0.0,17.25,6.67,0.22,21.67,960.93
Pizza Hut,All Meals,Veg Exotica (Personal),170.5 g,363.05,55.12,13.66,4.28,0.0,9.77,3.92,0.12,23.96,640.46
Pizza Hut,All Meals,Veg Kebab Surprise (Personal),194.5 g,520.4,63.12,24.62,5.56,0.0,18.83,6.81,0.18,23.03,1158.85
Pizza Hut,All Meals,Veggie Feast (Personal),160.5 g,408.06,60.57,17.75,4.24,0.0,10.53,4.12,0.13,21.96,869.41
Pizza Hut,All Meals,Veggie Lover (Personal),171 g,411.72,56.6,17.2,3.66,0.0,12.94,5.32,0.17,19.29,564.98
Pizza Hut,All Meals,Veggie Supreme (Personal),178 g,426.59,55.39,17.75,4.43,0.0,14.42,5.52,0.16,32.43,591.1
Pizza Hut,All Meals,Veggie Tandoori (Personal),153.5 g,432.21,58.12,13.98,2.0,0.0,15.98,5.36,0.15,31.91,835.35
Pizza Hut,All Meals,Momo Mia Veg (Personal),209 g,510.19,65.21,19.88,9.34,5.18,18.87,8.23,0.33,19.86,747.15
Pizza Hut,All Meals,Momo Mia Chicken (Personal),211 g,516.63,64.02,22.56,9.03,4.62,18.93,7.93,0.3,24.1,845.84
Pizza Hut,All Meals,Chicken n Corn Delight (Personal),165.5 g,421.56,57.38,20.75,5.84,0.0,12.11,5.11,0.15,50.96,916.52
Pizza Hut,All Meals,Chicken Pepper Crunch (Personal),167.5 g,447.43,50.59,21.32,5.86,0.0,17.76,7.45,0.23,54.62,780.15
Pizza Hut,All Meals,Chicken Pepperoni (Personal),154.5 g,439.17,50.41,14.85,4.74,3.62,19.79,7.79,0.22,112.45,948.58
Pizza Hut,All Meals,Chicken Sausage (Personal),151.5 g,443.02,48.93,17.98,4.68,0.0,19.48,8.03,0.26,38.62,678.93
Pizza Hut,All Meals,Chicken Supreme (Personal),172.5 g,445.19,47.37,23.87,5.18,0.0,17.78,6.66,0.19,39.61,1264.58
Pizza Hut,All Meals,Chicken Tikka Supreme (Personal),172.5 g,434.67,49.46,22.49,4.31,0.0,16.32,6.16,0.17,25.41,1328.54
