food_name,emoji,calorie,carb,sugar,Protein (g),fat,Saturated Fat (g),Monounsaturated Fat (g)       ,Polyunsaturated Fat (g),Total Fiber (g),Cholesterol (mg),Vitamin B6 (mg),Vitamin A (IU),Vitamin B12 (ug),Vitamin C (mg),Vitamin D (IU),Vitamin E (IU),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Niacin (mg),Folate (ug),Pantothenic Acid (mg),Choline (mg),Calcium (g),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (g),Potassium (g),Selenium (ug),Sodium (g),Zinc (mg)
grapes,🍇,0.69,0.181,0.1548,0.0072,0.0016,0.00054,0.00007,0.00048,0.009,0,0.00086,0.66,0,0.032,0,0.0019,0.146,0.00069,0.0007,0.00188,0.02,0.0005,0.056,0.1,0.00127,0.0036,0.07,0.00071,0.2,1.91,0.001,0.02,0.0007
melon,🍈,0.28,0.0658,0.0569,0.0111,0.001,0.00025,0.00002,0.00039,0.009,0,0.00163,0,0,0.218,0,0.0005,0.025,0.00015,0.00031,0.00232,0.08,0.00084,0.076,0.11,0.0006,0.0034,0.11,0.00035,0.05,1.82,0.004,0.09,0.0007
watermelon,🍉,0.3,0.0755,0.062,0.0061,0.0015,0.00016,0.00037,0.0005,0.004,0,0.00045,5.69,0,0.081,0,0.0005,0.001,0.00033,0.00021,0.00178,0.03,0.00221,0.041,0.07,0.00042,0.0024,0.1,0.00038,0.11,1.12,0.004,0.01,0.001
tangerine,🍊,0.53,0.1334,0.1058,0.0081,0.0031,0.00039,0.0006,0.00065,0.018,0,0.00078,6.81,0,0.267,0,0.002,0,0.00058,0.00036,0.00376,0.16,0.00216,0.102,0.37,0.00042,0.0015,0.12,0.00039,0.2,1.66,0.001,0.02,0.0007
lemon,🍋,0.29,0.0932,0.025,0.011,0.003,0.00039,0.00011,0.00089,0.028,0,0.0008,0.22,0,0.53,0,0.0015,0,0.0004,0.0002,0.001,0.11,0.0019,0.051,0.26,0.00037,0.006,0.08,0.0003,0.16,1.38,0.004,0.02,0.0006
banana,🍌,0.89,0.2284,0.1223,0.0109,0.0033,0.00112,0.00032,0.00073,0.026,0,0.00367,0.64,0,0.087,0,0.001,0.005,0.00031,0.00073,0.00665,0.2,0.00334,0.098,0.05,0.00078,0.0026,0.27,0.0027,0.22,3.58,0.01,0.01,0.0015
pineapple,🍍,0.5,0.1312,0.0985,0.0054,0.0012,0.00009,0.00013,0.0004,0.014,0,0.00112,0.58,0,0.478,0,0.0002,0.007,0.00079,0.00032,0.005,0.18,0.00213,0.055,0.13,0.0011,0.0029,0.12,0.00927,0.08,1.09,0.001,0.01,0.0012
red apple,🍎,0.63,0.1522,0.1168,0.002,0.0018,0,0,0,0.021,0,0.00045,0.38,0,0,0,0.0018,0.01,0.00013,0.00026,0.0007,0.03,0.00051,0.034,0.07,0.00025,0.001,0.05,0.00031,0.13,1.09,0,0.01,0.0004
green apple,🍏,0.58,0.1361,0.0959,0.0044,0.0019,0,0,0,0.028,0,0.00037,1,0,0,0,0.0018,0.032,0.00019,0.00025,0.00126,0.03,0.00056,0.034,0.05,0.00031,0.0015,0.05,0.00044,0.12,1.2,0.001,0.01,0.0004
pear,🍐,0.57,0.1523,0.0975,0.0036,0.0014,0.00022,0.00084,0.00094,0.031,0,0.00029,0.25,0,0.043,0,0.0012,0.044,0.00012,0.00026,0.00161,0.07,0.00049,0.051,0.09,0.00082,0.0018,0.07,0.00048,0.12,1.16,0.001,0.01,0.001
peach,🍑,0.39,0.0954,0.0839,0.0091,0.0025,0.00019,0.00067,0.00086,0.015,0,0.00025,3.26,0,0.066,0,0.0073,0.026,0.00024,0.00031,0.00806,0.04,0.00153,0.061,0.06,0.00068,0.0025,0.09,0.00061,0.2,1.9,0.001,0,0.0017
cherries,🍒,0.63,0.1601,0.1282,0.0106,0.002,0.00038,0.00047,0.00052,0.021,0,0.00049,0.64,0,0.07,0,0.0007,0.021,0.00027,0.00033,0.00154,0.04,0.00199,0.061,0.13,0.0006,0.0036,0.11,0.0007,0.21,2.22,0,0,0.0007
strawberry,🍓,0.32,0.0768,0.0489,0.0067,0.003,0.00015,0.00043,0.00155,0.02,0,0.00047,0.12,0,0.588,0,0.0029,0.022,0.00024,0.00022,0.00386,0.24,0.00125,0.057,0.16,0.00048,0.0041,0.13,0.00386,0.24,1.53,0.004,0.01,0.0014
